,Sensor 0,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5,Sensor 6,Sensor 7,Gyro 0,Gyro 1,Gyro 2,Orientation 0,Orientation 1,Orientation 2,Orientation 3
342,32,40,56,87,24,41,63,43,0,-23,20,-4252,7715,2617,13563
343,32,40,56,87,24,41,63,43,-16,-19,16,-4253,7719,2613,13562
344,31,40,93,108,24,41,64,42,-16,-19,16,-4253,7719,2613,13562
345,31,40,93,108,24,41,64,42,-2,2,10,-4253,7719,2613,13561
346,37,38,100,112,23,41,64,42,-2,2,10,-4253,7719,2613,13561
347,37,38,100,112,23,41,64,42,9,8,-3,-4253,7719,2614,13561
348,31,39,98,111,24,40,64,39,9,8,-3,-4253,7719,2614,13561
349,31,39,98,111,24,40,64,39,8,20,-8,-4252,7716,2616,13563
350,31,41,105,133,23,38,67,38,8,20,-8,-4252,7716,2616,13563
351,31,41,105,133,23,38,67,38,14,15,-7,-4252,7716,2616,13563
352,31,38,104,134,24,39,71,37,14,15,-7,-4252,7716,2616,13563
353,31,38,104,134,24,39,71,37,13,13,6,-4252,7716,2616,13563
354,32,32,74,130,26,39,70,40,13,13,6,-4252,7716,2616,13563
355,32,32,74,130,26,39,70,40,15,5,13,-4252,7716,2616,13563
356,28,30,62,125,25,35,70,43,15,5,13,-4252,7716,2616,13563
357,28,30,62,125,25,35,70,43,15,-5,14,-4252,7717,2616,13563
358,29,27,60,112,24,36,70,43,15,-5,14,-4252,7717,2616,13563
359,29,27,60,112,24,36,70,43,2,-7,18,-4254,7719,2616,13561
360,29,25,55,83,26,38,68,45,2,-7,18,-4254,7719,2616,13561
361,29,25,55,83,26,38,68,45,-20,-18,26,-4256,7723,2613,13558
362,28,25,62,83,24,37,68,45,-20,-18,26,-4256,7723,2613,13558
363,28,25,62,83,24,37,68,45,-30,-24,27,-4256,7729,2608,13556
364,28,28,63,67,22,37,67,43,-30,-24,27,-4256,7729,2608,13556
365,28,28,63,67,22,37,67,43,-6,-32,13,-4256,7735,2608,13553
366,27,25,62,59,24,39,66,40,-6,-32,13,-4256,7735,2608,13553
367,27,25,62,59,24,39,66,40,-13,-30,11,-4255,7739,2608,13551
368,28,27,62,60,24,41,68,43,-13,-30,11,-4255,7739,2608,13551
